1) jesli termalny to koniec. duza czerwona ramka
2) jesli true, wyswietl tylko przycisk `kontynuuj`
3) jesli branche, wyswietl checkboxy

FIXME: s_i -> s_not_releted (pelne nazwy stanow)
FIXME: s2, s21, s23, s24, s46 (tylko takie rozwiazanie znalazlem)

STATE, TEXT
s1, "what kind of preexisting relationship do you have with this person?"
s2, "professional"
s3, "do you live in either New York or San Francisco?"
s4, "do whatever it takes"
s5, "probably better not"
s6, "is this just an attempt to got your kids back?"
s7, "are you crazy"
s8, "<2 rece jedna wskazuje na kolo>"
s9, "is there a restraining order involved?"
s10, "when are you gonna realize that I'am the only one who's ever gonna love you?!"
s11, "are you just trying to generate publicity and dispel certain rumors?"
s12, "not advised, but we'll allow it if you make a sex tape"
s13, "hi, robert pattinson"
s14, "is your health at any serious risk?"
s15, "does your job suck?"
s16, "<kosc>"
s17, "where do you teach?"
s18, "whoa. you're talking about having sex with a minor, right?"
s19, "thought-crime! our agents have sent to your location. resistance is useless"
s20, "are you related?"
s21, "no"
s22, "by blood?"
s23, "no"
s24, "yes"
s25, "absolutely not!!!"
s26, "are you really in love or just desperate?"
s27, "hang in there, pal. you'll meet someone else"
s28, "do, you live in a sparsely populated area? or the south?"
s29, "i guess it's ok, but you should probably keep it on the downlow"
s30, "make it happen, captain"
s31, "are the parents still married?"
s32, "are you Woody Allen?"
s33, "did you grow up together, like from childhood?"
s34, "you've missed the point of this chart. and you disgust me."
s35, "yes, for the love of god, someone please have sex with the dungeon master!"
s36, "do you really have a choice in the matter?"
s37, "well, it's pretty obvious, but go ahead and give it a shot"
s38, "are you done having sex with other people?"
s39, "do you like drama?"
s40, "awesome! leaving the house and putting on clothes are two of the worst parts of dating, so this is actually one of the better decisions you'll ever make! go for it!"
s41, "do you wanna get high?"
s42, "<sruba>"
s43, "are you crazy?"
s44, "you're a bad liar"
s45, "how lonely are you?"
s46, "other"
s47, "like in that Demi Moore/Fatrick Swayze movie?"
s48, "fuck that ghost"
s49, "would you have cated this person when among the living?"
s50, "how long since the stopped dating?"
s51, "are they still friends?"
s52, "how old are you again?"
s53, "do you want to be alone for the rest of your life"
s54, "it's for the best right now. game on!"
s55, "clear it with your friend first. bros before hos, right? or vice versa, as the case may be"
s56, "put down the controller and go take a shower. your genitals will thank you."
s57, "seriously?" like, you want to date an animal?"
s58, "ok, well, not 'date' per se but..."
s59, "are you a farmer?"
s60, "do you live in Japan?"
s61, "will you please move there to make the rest of us feel better?"

---
STATE, P, THEN
s1, "professional", s2
s2, "it's my landord, s3
s3, "yes", s4
s3, "no", s5
s2, "it's my social worker", s6
s6, "yes", s4
s6, "no", s5
s2, "it's my therapist", s7
s7, "maybe a little", s5
s7, "i don't think so", s8
s2, "it's my stalker", s9
s9, "no", s5
s9, "yes", s10
s10, "today!", s8
s10, "never", s5
s2, "it's my costar", s11
s11, "no", s12
s11, "yes", s13
s2, "it's my physician", s14
s14, "no", s8
s14, "yes", s5
s2, "it's my boss/coworker", s15
s15, "no", s5
s15, "yes", s16
s2, "it's my professor", s16
s2, "it's my student", s17
s17, "college", s15
s17, "anything below college", s18
s18, "yeah", s19
s18, "no, of course not", s19
s1, "personal", s20
s20, "no", s21
s20, "yes", s22
s22, "no", s23
s22, "yes", s24
s24, "it's my brother, sister, first cousin, aunt, uncle, parent, grandparent, or child", s25
s24, "it's my second cousin, half-cousin or more distant", s26
s26, "god, i am so desperate", s27
s26, "no, it's really love, i'am sure", s28
s28, "no", s27
s28, "yes", s29
s23, "it's my brother's wife's cousin, if you can believe it", s30
s23, "it's my step or adopted sibling or child", s31
s31, "yes", s32
s31, "no", s33
s33, "yes", s25
s33, "no", s29
s32, "yes", s30
s32, "no", s25
s21, "it's my highschool crush", s34
s21, "it's my dungeon master", s35
s21, "it's my cellmate", s36
s36, "yes", s5
s36, "no", s37
s21, "it's my soulmate", s38
s38, "yes", s37
s38, "no", s5
s21, "it's my roommate", s39
s39, "yes", s40
s39, "no", s5
s21, "it's my dealer", s41
s41, "yes", s42
s41, "no", s5
s21, "it's my best friend's sibling", s43
s43, "i don't think so", s44
s43, "a little", s42
s21, "it's my missed connection", s45
s45, "a little", s42
s45, "not at all", s44
s1, "other", s46
s46, "it's a ghost that's been haunting me", s47
s47, "yes, exactly like that!", s48
s47, "no, it's really nothing like that!", s49
s49, "yes", s48
s49, "no", s5
s46, "it's my best friend's ex", s50
s50, "oh, it's been awhile", s51
s50, "well, technically, the haven't, really...", s25
s46, "it's my xbox/wii/playstation", s52
s52, "i'm over 18", s53
s52, "i'm under 18", s54
s51, "they're friendly enough", s55
s51, "they have swuhm to kill each other on sight", s25
s53, "yes", s54
s53, "no", s56
s46, "it's my pet or other animal", s57
s57, "no", s58
s57, "yes", s59
s58, true, s25
s59, "no", s25
s59, "yes", s29
s46, "it's my lovebot", s60
s60, "yes", s29
s60, "no", s61
s61, "no", s25
s61, "yes", s29
